"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2018","7.45","7.16","7.68","7.16","3.13M","7.04%"
"May 14, 2018","6.96","6.85","6.98","6.85","466.06K","1.75%"
"May 11, 2018","6.84","7.00","7.03","6.60","766.96K","-2.29%"
"May 10, 2018","7.00","7.07","7.32","6.85","1.45M","0.29%"
"May 09, 2018","6.98","6.47","7.03","6.46","1.45M","8.22%"
"May 08, 2018","6.45","6.31","6.48","6.25","712.72K","2.38%"
"May 07, 2018","6.30","6.21","6.37","6.21","1.13M","2.11%"
"May 04, 2018","6.17","6.20","6.29","6.12","747.46K","-0.48%"
"May 03, 2018","6.20","5.96","6.20","5.89","786.83K","4.20%"
"May 02, 2018","5.95","5.96","5.99","5.92","443.95K","0.34%"
"May 01, 2018","5.93","5.98","5.98","5.84","717.11K","-1.00%"
"Apr 30, 2018","5.99","5.99","6.03","5.78","435.72K","0.67%"
"Apr 27, 2018","5.95","5.78","5.95","5.77","503.57K","3.48%"
"Apr 26, 2018","5.75","5.65","5.88","5.60","719.78K","3.23%"
"Apr 24, 2018","5.57","5.46","5.61","5.41","341.43K","2.58%"
"Apr 23, 2018","5.43","5.70","5.73","5.39","1.04M","-3.72%"
"Apr 20, 2018","5.64","5.71","5.78","5.63","611.47K","-0.18%"
"Apr 19, 2018","5.65","6.10","6.14","5.65","672.77K","-5.83%"
"Apr 18, 2018","6.00","5.98","6.15","5.92","981.59K","1.52%"
"Apr 17, 2018","5.91","5.72","5.98","5.70","594.69K","5.16%"
"Apr 16, 2018","5.62","5.61","5.78","5.58","464.62K","0.54%"
"Apr 13, 2018","5.59","5.33","5.68","5.33","953.38K","4.49%"
"Apr 12, 2018","5.35","5.45","5.46","5.26","2.29M","-4.46%"
"Apr 11, 2018","5.60","6.00","6.18","5.49","2.49M","-5.72%"
"Apr 10, 2018","5.94","5.52","6.04","5.43","1.32M","8.59%"
"Apr 09, 2018","5.47","5.49","5.60","5.42","785.75K","0.37%"
"Apr 06, 2018","5.45","5.80","5.82","5.32","2.01M","-6.03%"
"Apr 05, 2018","5.80","5.70","5.95","5.70","1.52M","2.65%"
"Apr 04, 2018","5.65","6.00","6.00","5.43","3.99M","-5.83%"
"Apr 03, 2018","6.00","6.35","6.40","5.93","1.74M","-6.83%"
"Mar 29, 2018","6.44","6.76","6.77","6.44","911.61K","-4.87%"
